City ID,City,Country,Lat,Lng,Temp,Humidity,Clouds,Wind Speed
3628473,San Cristobal,VE,7.77,-72.22,84.2,62,40,8.05
5367788,Lompoc,US,34.64,-120.46,65.35,77,1,10.29
5106841,Albany,US,42.6,-73.97,72.23,65,4,3.69
3870282,Talcahuano,CL,-36.72,-73.12,51.8,93,75,3.36
3698304,Chimbote,PE,-9.09,-78.58,61.03,87,65,9.42
3445026,Vila Velha,BR,-20.33,-40.29,74.16,78,3,14.99
5905393,Bonavista,CA,48.65,-53.11,60.48,79,63,15.68
6201424,Mataura,NZ,-46.19,168.86,59.22,54,95,12.57
2014624,Udachny,RU,66.42,112.4,35.6,93,0,6.71
2022572,Khatanga,RU,71.97,102.5,46.36,64,0,8.05
2101169,Aitape,PG,-3.14,142.35,86.34,61,33,2.57
1501460,Kulunda,RU,52.57,78.94,42.44,93,0,6.82
2017155,Saskylakh,RU,71.92,114.08,46.78,60,0,7.67
3652764,Puerto Ayora,EC,-0.74,-90.35,68.0,87,87,5.01
4030556,Rikitea,PF,-23.12,-134.97,72.54,72,6,12.17
1735106,George Town,MY,5.41,100.34,77.63,94,40,3.36
1490256,Talnakh,RU,69.49,88.4,44.6,93,75,6.71
2261673,Vieira de Leiria,PT,39.87,-8.93,66.13,45,73,1.12
949703,Thaba Nchu,ZA,-29.21,26.84,51.64,43,0,2.15
4020109,Atuona,PF,-9.8,-139.03,78.24,69,12,18.88
4032243,Vaini,TO,-21.2,-175.2,77.0,73,75,14.99
1636022,Martapura,ID,-3.42,114.85,77.0,94,20,1.48
108648,Qurayyat,SA,31.33,37.34,84.2,37,15,9.17
5122534,Jamestown,US,42.1,-79.24,69.89,83,40,8.05
1512101,Agirish,RU,61.92,63.02,50.41,98,91,4.88
1516048,Khovd,MN,48.01,91.64,49.23,45,0,5.08
3926438,Urubamba,PE,-13.3,-72.12,57.04,58,100,5.95
2127515,Wakkanai,JP,45.41,141.67,77.0,78,20,12.75
1489853,Tazovsky,RU,67.47,78.7,48.06,90,100,11.25
4034496,Fare,PF,-16.7,-151.02,78.08,77,1,13.96
3838859,Río Gallegos,AR,-51.62,-69.22,44.6,52,19,8.05
2075265,Busselton,AU,-33.65,115.33,50.18,85,0,7.43
1651810,Airai,TL,-8.93,125.41,70.12,52,47,4.81
934479,Grand Gaube,MU,-20.01,57.66,69.01,87,29,5.99
5848280,Kapaa,US,22.08,-159.32,83.8,62,40,12.75
128234,Kerman,IR,30.28,57.08,57.2,26,0,4.7
1507390,Dikson,RU,73.51,80.55,41.92,100,100,15.26
3356832,Henties Bay,NA,-22.12,14.28,58.46,84,0,2.51
3428068,San Vicente,AR,-26.62,-54.13,64.96,89,94,1.81
5546220,Saint George,US,37.1,-113.58,69.69,18,1,23.04
455520,Skrunda,LV,56.68,22.02,62.6,77,0,11.41
1789647,Xichang,CN,27.9,102.26,67.84,75,97,1.19
